RepRapFirmware height map file v2 generated at 2026-03-03 17:35, min error -0.196, max error 0.134, mean 0.025, deviation 0.075
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,290.00,10.00,290.00,-1.00,46.66,46.66,7,7
 -0.196, -0.129, -0.073, -0.011,  0.046,  0.078,  0.099
 -0.150, -0.084, -0.044,  0.012,  0.064,  0.098,  0.112
 -0.094, -0.037,  0.000,  0.047,  0.096,  0.128,  0.129
 -0.040,  0.009,  0.042,  0.080,  0.110,  0.134,  0.131
 -0.023,  0.020,  0.037,  0.067,  0.099,  0.111,  0.104
 -0.029,  0.005,  0.008,  0.030,  0.054,  0.067,  0.060
 -0.022, -0.001, -0.003,  0.005,  0.024,  0.029,  0.017
